customer_id,customer_type,city
1,B2B,Berlin
2,B2B,Cologne
3,B2B,Frankfurt
4,B2C,Berlin
5,B2B,Frankfurt
6,B2B,Hamburg
7,B2B,Berlin
8,B2C,Frankfurt
9,B2B,Hamburg
10,B2B,Cologne
11,B2B,Hamburg
12,B2B,Munich
13,B2C,Hamburg
14,B2B,Hamburg
15,B2B,Munich
16,B2C,Frankfurt
17,B2C,Frankfurt
18,B2B,Hamburg
19,B2B,Munich
20,B2B,Munich
21,B2C,Cologne
22,B2C,Frankfurt
23,B2C,Berlin
24,B2B,Frankfurt
25,B2B,Frankfurt
26,B2C,Cologne
27,B2B,Berlin
28,B2B,Cologne
29,B2B,Berlin
30,B2B,Hamburg
31,B2B,Berlin
32,B2B,Cologne
33,B2B,Frankfurt
34,B2B,Berlin
35,B2B,Berlin
36,B2B,Munich
37,B2C,Frankfurt
38,B2C,Hamburg
39,B2B,Cologne
40,B2C,Hamburg
41,B2B,Frankfurt
42,B2C,Berlin
43,B2C,Berlin
44,B2B,Frankfurt
45,B2B,Berlin
46,B2B,Berlin
47,B2B,Berlin
48,B2B,Cologne
49,B2B,Cologne
50,B2B,Munich
51,B2B,Hamburg
52,B2B,Frankfurt
53,B2C,Frankfurt
54,B2C,Frankfurt
55,B2C,Munich
56,B2B,Cologne
57,B2B,Munich
58,B2B,Frankfurt
59,B2C,Hamburg
60,B2B,Berlin
61,B2B,Cologne
62,B2B,Cologne
63,B2C,Munich
64,B2B,Cologne
65,B2B,Frankfurt
66,B2B,Frankfurt
67,B2B,Munich
68,B2B,Frankfurt
69,B2B,Hamburg
70,B2B,Munich
71,B2C,Hamburg
72,B2B,Berlin
73,B2B,Hamburg
74,B2C,Berlin
75,B2B,Berlin
76,B2B,Hamburg
77,B2B,Munich
78,B2B,Frankfurt
79,B2B,Frankfurt
80,B2B,Berlin
81,B2C,Berlin
82,B2B,Munich
83,B2B,Cologne
84,B2B,Hamburg
85,B2C,Berlin
86,B2B,Frankfurt
87,B2B,Munich
88,B2B,Hamburg
89,B2B,Munich
90,B2B,Hamburg
91,B2B,Hamburg
92,B2B,Berlin
93,B2B,Munich
94,B2B,Munich
95,B2B,Frankfurt
96,B2B,Frankfurt
97,B2B,Berlin
98,B2B,Berlin
99,B2B,Cologne
100,B2B,Frankfurt
101,B2B,Hamburg
102,B2B,Munich
103,B2B,Berlin
104,B2B,Munich
105,B2C,Munich
106,B2B,Cologne
107,B2C,Frankfurt
108,B2B,Berlin
109,B2C,Munich
110,B2B,Berlin
111,B2B,Hamburg
112,B2B,Cologne
113,B2B,Hamburg
114,B2B,Berlin
115,B2B,Berlin
116,B2B,Frankfurt
117,B2B,Munich
118,B2B,Munich
119,B2B,Hamburg
120,B2B,Cologne
121,B2B,Munich
122,B2C,Frankfurt
123,B2B,Hamburg
124,B2C,Hamburg
125,B2B,Frankfurt
126,B2C,Cologne
127,B2C,Frankfurt
128,B2B,Cologne
129,B2B,Frankfurt
130,B2B,Frankfurt
131,B2C,Berlin
132,B2B,Hamburg
133,B2B,Frankfurt
134,B2C,Frankfurt
135,B2C,Munich
136,B2B,Hamburg
137,B2B,Munich
138,B2C,Hamburg
139,B2B,Munich
140,B2B,Frankfurt
141,B2C,Frankfurt
142,B2B,Berlin
143,B2C,Munich
144,B2B,Cologne
145,B2B,Berlin
146,B2B,Munich
147,B2B,Munich
