order_id,order_date,customer_id,product_id,quantity,unit_price,region,revenue
1,2024-04-15,985,13,4,237.75,East,951.0
2,2022-06-18,732,47,4,375.7,North,1502.8
3,2022-08-05,180,5,1,72.33,East,72.33
4,2023-01-13,358,24,5,171.1,South,855.5
5,2022-04-29,740,38,1,67.86,South,67.86
6,2022-07-09,996,17,2,348.95,South,697.9
7,2024-02-06,252,31,1,454.75,South,454.75
8,2023-01-05,299,28,3,445.64,North,1336.92
9,2022-05-29,873,1,1,169.96,East,169.96
10,2023-10-14,430,2,5,124.77,East,623.85
11,2024-02-09,4,33,2,144.28,West,288.56
12,2023-01-09,653,40,1,150.79,West,150.79
13,2024-02-20,678,29,4,50.3,South,201.2
14,2022-06-09,254,4,2,75.34,West,150.68
15,2022-12-17,941,18,2,115.1,South,230.2
16,2024-06-10,665,24,5,14.0,West,70.0
17,2023-06-07,579,32,4,33.14,South,132.56
18,2023-06-06,567,9,3,352.29,East,1056.8700000000001
19,2024-02-22,96,47,1,313.47,North,313.47
20,2022-09-30,167,16,3,473.26,South,1419.78
21,2024-07-24,833,21,4,206.86,West,827.44
22,2022-07-02,331,30,2,227.72,West,455.44
23,2023-05-03,898,3,5,43.19,West,215.95
24,2024-04-25,965,33,5,84.6,South,423.0
25,2022-05-04,888,31,2,348.89,East,697.78
26,2024-09-11,854,45,5,125.17,North,625.85
27,2024-02-29,62,14,3,388.91,West,1166.73
28,2023-02-18,174,6,2,355.78,West,711.56
29,2023-11-17,253,5,1,376.16,South,376.16
30,2022-04-23,461,29,1,348.39,North,348.39
31,2024-06-06,624,37,4,356.75,South,1427.0
32,2022-05-02,215,36,2,277.93,East,555.86
33,2022-02-08,239,21,3,342.34,North,1027.02
34,2023-05-12,415,12,2,267.83,East,535.66
35,2024-02-19,739,46,2,110.98,South,221.96
36,2024-07-31,742,23,3,116.63,East,349.89
37,2022-05-29,745,14,5,208.6,South,1043.0
38,2024-10-18,675,43,3,16.82,West,50.46
39,2023-10-23,126,42,2,445.76,West,891.52
40,2022-10-29,941,10,2,141.45,West,282.9
41,2022-08-26,253,27,2,35.25,South,70.5
42,2023-10-09,845,41,2,217.97,South,435.94
43,2023-10-25,950,2,4,409.64,South,1638.56
44,2022-08-24,711,14,5,204.7,East,1023.5
45,2022-07-22,197,7,2,138.71,West,277.42
46,2022-09-13,634,17,4,277.0,South,1108.0
47,2023-08-21,413,20,2,291.45,West,582.9
48,2023-10-24,456,8,5,382.0,West,1910.0
49,2022-08-23,776,20,5,401.88,South,2009.4
50,2023-06-18,54,36,3,356.04,South,1068.1200000000001
51,2024-05-09,647,5,4,12.22,East,48.88
52,2024-02-09,339,13,5,11.02,East,55.099999999999994
53,2023-06-25,359,39,1,488.95,West,488.95
54,2022-08-01,151,38,2,139.46,South,278.92
55,2023-04-08,100,17,5,148.35,South,741.75
56,2023-03-12,234,6,4,368.8,South,1475.2
57,2022-10-10,544,19,4,294.98,West,1179.92
58,2022-03-29,62,25,4,237.15,South,948.6
59,2024-12-03,941,3,3,67.06,East,201.18
60,2023-04-06,196,41,2,49.93,North,99.86
61,2022-10-05,542,28,1,354.78,North,354.78
62,2023-02-25,755,26,4,71.06,East,284.24
63,2023-11-27,106,47,2,223.55,North,447.1
64,2023-05-30,295,8,4,370.7,East,1482.8
65,2023-12-04,645,15,4,462.37,West,1849.48
66,2022-01-19,451,1,1,438.06,North,438.06
67,2022-01-23,534,40,2,433.38,West,866.76
68,2023-02-17,156,23,4,185.66,West,742.64
69,2024-11-19,406,36,3,464.31,East,1392.93
70,2022-04-18,896,42,4,344.99,West,1379.96
71,2022-05-16,726,16,2,444.38,North,888.76
72,2022-12-28,738,50,5,53.57,North,267.85
73,2022-05-09,797,4,4,29.38,East,117.52
74,2023-05-30,683,8,3,220.53,West,661.59
75,2023-03-25,554,36,3,415.73,South,1247.19
76,2024-05-23,572,10,4,210.18,West,840.72
77,2023-04-18,375,30,2,443.48,North,886.96
78,2024-10-30,589,36,4,125.04,North,500.16
79,2022-10-29,455,16,3,29.28,North,87.84
