order_id,order_date,customer_id,product_id,quantity,unit_price,region
1,2024-04-15,985,13,4,237.75,East
2,2022-06-18,732,47,4,375.7,North
3,2022-08-05,180,5,1,72.33,East
4,2023-01-13,358,24,5,171.1,South
5,2022-04-29,740,38,1,67.86,South
6,2022-07-09,996,17,2,348.95,South
7,2024-02-06,252,31,1,454.75,South
8,2023-01-05,299,28,3,445.64,North
9,2022-05-29,873,1,1,169.96,East
10,2023-10-14,430,2,5,124.77,East
11,2024-02-09,4,33,2,144.28,West
12,2023-01-09,653,40,1,150.79,West
13,2024-02-20,678,29,4,50.3,South
14,2022-06-09,254,4,2,75.34,West
15,2022-12-17,941,18,2,115.1,South
16,2024-06-10,665,24,5,14.0,West
17,2023-06-07,579,32,4,33.14,South
18,2023-06-06,567,9,3,352.29,East
19,2024-02-22,96,47,1,313.47,North
20,2022-09-30,167,16,3,473.26,South
21,2024-07-24,833,21,4,206.86,West
22,2022-07-02,331,30,2,227.72,West
23,2023-05-03,898,3,5,43.19,West
24,2024-04-25,965,33,5,84.6,South
25,2022-05-04,888,31,2,348.89,East
26,2024-09-11,854,45,5,125.17,North
27,2024-02-29,62,14,3,388.91,West
28,2023-02-18,174,6,2,355.78,West
29,2023-11-17,253,5,1,376.16,South
30,2022-04-23,461,29,1,348.39,North
31,2024-06-06,624,37,4,356.75,South
32,2022-05-02,215,36,2,277.93,East
33,2022-02-08,239,21,3,342.34,North
34,2023-05-12,415,12,2,267.83,East
35,2024-02-19,739,46,2,110.98,South
36,2024-07-31,742,23,3,116.63,East
37,2022-05-29,745,14,5,208.6,South
38,2024-10-18,675,43,3,16.82,West
39,2023-10-23,126,42,2,445.76,West
40,2022-10-29,941,10,2,141.45,West
41,2022-08-26,253,27,2,35.25,South
42,2023-10-09,845,41,2,217.97,South
43,2023-10-25,950,2,4,409.64,South
44,2022-08-24,711,14,5,204.7,East
45,2022-07-22,197,7,2,138.71,West
46,2022-09-13,634,17,4,277.0,South
47,2023-08-21,413,20,2,291.45,West
48,2023-10-24,456,8,5,382.0,West
49,2022-08-23,776,20,5,401.88,South
50,2023-06-18,54,36,3,356.04,South
51,2024-05-09,647,5,4,12.22,East
52,2024-02-09,339,13,5,11.02,East
53,2023-06-25,359,39,1,488.95,West
54,2022-08-01,151,38,2,139.46,South
55,2023-04-08,100,17,5,148.35,South
56,2023-03-12,234,6,4,368.8,South
57,2022-10-10,544,19,4,294.98,West
58,2022-03-29,62,25,4,237.15,South
59,2024-12-03,941,3,3,67.06,East
60,2023-04-06,196,41,2,49.93,North
61,2022-10-05,542,28,1,354.78,North
62,2023-02-25,755,26,4,71.06,East
63,2023-11-27,106,47,2,223.55,North
64,2023-05-30,295,8,4,370.7,East
65,2023-12-04,645,15,4,462.37,West
66,2022-01-19,451,1,1,438.06,North
67,2022-01-23,534,40,2,433.38,West
68,2023-02-17,156,23,4,185.66,West
69,2024-11-19,406,36,3,464.31,East
70,2022-04-18,896,42,4,344.99,West
71,2022-05-16,726,16,2,444.38,North
72,2022-12-28,738,50,5,53.57,North
73,2022-05-09,797,4,4,29.38,East
74,2023-05-30,683,8,3,220.53,West
75,2023-03-25,554,36,3,415.73,South
76,2024-05-23,572,10,4,210.18,West
77,2023-04-18,375,30,2,443.48,North
78,2024-10-30,589,36,4,125.04,North
79,2022-10-29,455,16,3,29.28,North
80,2022-08-19,202,30,4,383.03,West
81,2024-07-11,732,44,3,316.82,South
82,2024-12-25,452,10,5,225.64,North
83,2024-07-25,187,11,4,424.18,West
84,2022-04-22,608,34,1,413.85,East
85,2024-11-02,854,16,4,169.02,West
86,2023-05-15,724,19,3,420.61,North
87,2024-07-20,368,44,2,179.13,North
88,2023-08-21,340,4,3,314.73,North
89,2022-08-22,262,49,5,104.32,North
90,2023-08-25,841,44,2,139.45,North
91,2022-11-10,924,31,1,229.46,West
92,2023-07-20,589,48,1,164.15,West
93,2024-11-01,543,35,5,73.28,South
94,2022-07-28,551,34,5,246.34,West
95,2024-11-03,306,26,5,260.57,North
96,2024-11-09,846,39,5,87.77,West
97,2023-08-10,726,6,4,95.41,West
98,2024-10-11,638,33,3,24.38,South
99,2024-12-29,165,47,4,24.87,North
100,2023-11-29,758,27,2,185.73,South
101,2022-05-12,621,12,1,81.86,North
102,2024-11-09,88,45,1,460.35,North
103,2023-06-20,200,8,2,107.71,East
104,2024-10-10,271,9,1,42.32,West
105,2022-08-15,51,1,5,208.04,North
106,2024-04-01,489,5,5,104.31,East
107,2024-05-20,198,7,5,40.27,South
108,2023-02-09,23,18,2,378.84,West
109,2022-07-21,665,40,3,282.98,North
110,2022-02-07,223,24,2,37.94,East
111,2024-07-30,942,26,3,239.33,South
112,2022-07-07,221,10,1,29.03,South
113,2024-12-16,663,40,1,183.61,East
114,2024-07-29,266,44,1,188.01,West
115,2024-11-09,73,48,3,413.26,North
116,2022-09-30,881,12,1,370.29,East
117,2023-08-06,77,22,2,449.5,East
118,2023-05-31,544,27,3,78.85,South
119,2023-06-10,881,3,5,271.54,East
120,2022-12-02,435,18,3,19.89,West
121,2023-11-29,937,5,2,414.51,South
122,2024-12-14,65,14,2,189.62,East
123,2023-05-15,961,25,2,43.96,East
124,2024-06-18,357,31,1,169.08,West
125,2024-02-05,936,21,5,150.59,North
126,2023-06-20,18,48,5,385.34,North
127,2022-06-11,676,38,4,72.04,North
128,2023-08-17,799,48,2,282.33,South
129,2022-06-08,566,20,1,399.02,North
130,2022-03-01,575,14,3,372.37,North
131,2024-07-03,769,20,1,468.59,South
132,2022-07-30,751,37,2,10.31,East
133,2023-02-10,436,46,1,183.36,South
134,2023-10-26,996,30,2,191.1,North
135,2023-06-26,441,43,3,26.32,South
136,2024-09-24,9,41,3,410.46,South
137,2024-07-15,470,20,5,347.56,North
138,2024-05-17,632,7,4,268.76,East
139,2022-01-19,348,5,1,208.46,North
140,2023-03-08,602,31,4,448.75,South
141,2024-01-10,372,29,1,139.59,North
142,2022-07-02,970,15,5,173.93,East
143,2022-04-23,824,25,5,476.79,West
144,2023-04-26,175,13,3,41.67,South
145,2024-04-10,515,44,3,392.5,East
146,2024-02-02,130,24,3,361.85,North
147,2023-04-21,566,15,1,451.93,North
148,2024-02-02,293,24,4,54.38,West
149,2024-08-28,696,26,4,485.52,South
150,2024-10-16,927,19,3,24.13,North
151,2022-06-10,353,24,5,175.47,East
152,2023-02-05,224,19,4,51.56,South
153,2022-07-17,524,42,5,35.08,West
154,2023-10-22,954,17,3,482.71,East
155,2024-12-06,707,48,1,362.64,West
156,2023-02-03,759,5,2,257.79,East
157,2022-03-19,509,4,4,63.01,South
158,2022-05-04,368,22,3,267.75,East
159,2022-03-16,666,10,3,166.83,South
160,2022-05-17,590,21,4,143.08,South
161,2023-08-25,652,25,2,312.87,East
162,2024-04-16,500,6,1,397.55,East
163,2023-05-15,90,30,4,227.2,South
164,2022-05-18,656,29,1,251.72,North
165,2022-02-19,949,11,3,329.2,North
166,2024-08-30,72,11,4,71.07,East
167,2022-09-11,433,48,1,416.02,North
168,2023-12-11,689,46,5,420.1,North
169,2023-07-17,348,27,5,275.11,South
170,2024-01-27,263,19,5,101.9,South
171,2023-07-01,271,22,1,255.37,North
172,2024-07-10,509,28,5,61.91,West
173,2023-08-04,508,4,3,384.01,East
174,2022-02-18,617,37,1,162.47,West
175,2024-07-05,420,19,3,162.44,West
176,2023-12-05,72,17,2,473.07,West
177,2022-09-18,74,50,1,216.71,North
178,2022-12-22,655,40,5,396.89,South
179,2023-09-30,503,36,5,322.21,North
180,2024-01-13,574,23,2,164.93,West
181,2024-10-06,146,50,4,70.66,North
182,2024-07-19,46,28,2,400.89,East
183,2023-10-03,741,11,5,383.63,West
184,2024-03-02,105,14,5,92.89,North
185,2023-09-04,109,13,4,132.07,South
186,2024-03-19,317,24,2,385.46,West
187,2023-11-17,121,16,3,491.98,South
188,2022-07-07,499,28,2,423.38,East
189,2024-09-11,43,30,3,345.23,East
190,2023-07-02,940,44,5,458.56,North
191,2023-12-26,99,41,5,149.77,North
192,2024-07-14,706,39,2,14.73,East
193,2024-05-25,311,42,5,167.27,West
194,2023-09-10,214,27,4,486.25,West
195,2023-02-18,463,17,1,442.17,West
196,2024-06-21,741,50,3,34.67,East
197,2022-06-12,423,26,5,255.96,South
198,2022-09-27,996,7,3,48.71,South
199,2023-09-24,389,35,2,396.63,West
200,2024-06-24,697,15,4,192.58,North
201,2022-07-24,112,16,3,456.85,North
202,2023-08-05,911,21,5,36.68,East
203,2024-04-20,859,17,1,369.66,North
204,2023-08-19,272,45,4,205.69,East
205,2022-09-07,825,26,2,141.43,East
206,2024-05-24,996,35,5,263.55,North
207,2022-07-15,102,20,4,247.89,North
208,2023-11-21,210,20,5,180.92,West
209,2024-12-29,739,23,2,327.94,West
210,2023-10-01,793,5,2,334.04,North
211,2023-11-03,22,9,1,47.8,West
212,2024-08-01,760,23,4,301.75,West
213,2022-07-18,159,18,1,358.26,South
214,2023-05-07,891,29,1,47.19,West
215,2024-06-14,741,11,1,332.97,West
216,2022-05-22,930,43,3,403.95,West
217,2022-06-14,343,48,2,417.65,South
218,2022-11-10,400,8,1,30.41,West
219,2022-01-21,454,27,3,351.73,South
220,2024-09-10,699,2,3,400.52,West
221,2022-11-01,143,23,3,204.44,East
222,2023-01-06,850,21,1,275.99,East
223,2024-05-02,870,10,3,139.91,West
224,2023-01-19,397,38,1,162.02,South
225,2023-03-21,536,4,4,255.79,North
226,2023-03-01,141,21,2,84.06,East
227,2022-06-10,961,37,5,191.55,North
228,2023-09-21,240,43,1,157.7,North
229,2024-06-13,292,12,2,126.74,East
230,2023-05-05,817,48,1,247.11,East
231,2024-10-13,82,46,4,420.95,North
232,2022-11-23,560,14,2,128.71,South
233,2023-08-21,865,20,2,333.27,East
234,2024-10-11,870,47,3,134.55,West
235,2022-10-16,171,8,1,79.62,East
236,2023-08-16,774,27,1,472.23,West
237,2023-07-27,977,37,5,320.29,East
238,2022-01-28,580,41,3,61.25,West
239,2024-08-11,526,21,3,320.0,West
240,2022-02-12,542,48,5,96.41,South
241,2023-02-27,110,35,3,445.02,South
242,2022-06-26,212,44,3,131.26,North
243,2023-06-13,776,39,4,405.33,East
244,2024-08-23,438,49,2,107.61,East
245,2022-07-17,322,15,5,283.56,East
246,2023-09-02,997,47,4,457.04,South
247,2024-04-21,900,12,4,155.04,East
248,2024-05-02,714,34,4,49.88,East
249,2022-01-22,84,8,3,280.77,North
250,2024-12-16,956,37,5,94.44,South
251,2024-12-25,376,30,3,366.89,North
252,2024-04-21,53,3,3,299.5,East
253,2022-04-08,867,30,4,179.72,North
254,2023-03-11,496,29,1,355.77,East
255,2023-09-29,256,1,5,126.88,East
256,2023-08-11,586,16,5,459.35,North
257,2022-12-10,220,42,4,179.98,North
258,2023-07-25,655,31,4,383.85,West
259,2023-09-03,100,10,2,136.67,East
260,2022-08-31,129,30,4,360.26,West
261,2023-07-15,918,43,3,25.45,South
262,2024-08-17,219,26,4,154.8,West
263,2022-02-01,477,12,5,55.52,South
264,2023-01-26,783,40,1,231.1,West
265,2022-10-04,458,5,1,223.2,West
266,2023-06-16,980,9,3,185.91,West
267,2023-01-18,22,11,1,490.77,North
268,2024-12-27,690,47,4,129.6,South
269,2024-06-02,560,23,1,397.62,West
270,2022-08-02,629,17,4,229.25,West
271,2023-01-11,329,43,2,174.06,South
272,2024-01-14,888,13,5,109.7,West
273,2022-08-01,691,17,3,320.37,East
274,2022-03-20,480,23,2,173.5,North
275,2023-09-20,785,39,1,408.33,North
276,2023-08-27,874,9,3,484.55,North
277,2024-02-21,339,18,4,121.29,West
278,2024-09-27,872,18,2,73.05,North
279,2023-11-11,859,30,5,164.6,East
280,2022-02-27,179,42,5,238.88,East
281,2024-11-15,421,44,2,157.47,South
282,2024-05-30,482,26,2,485.53,West
283,2023-03-23,49,18,2,391.81,North
284,2022-03-07,827,21,1,483.41,East
285,2024-12-03,906,41,5,192.89,East
286,2024-10-08,767,41,5,159.29,West
287,2022-08-15,30,42,1,209.61,North
288,2024-02-13,85,33,3,266.19,South
289,2023-11-10,789,43,5,373.36,South
290,2023-08-24,502,14,3,441.74,West
291,2023-01-14,546,10,3,236.96,East
292,2023-12-10,329,28,3,151.7,East
293,2022-11-03,610,14,5,166.23,West
294,2024-02-18,434,19,4,351.5,West
295,2023-05-19,588,26,3,288.1,West
296,2022-09-25,687,10,4,248.38,North
297,2022-01-08,853,17,1,109.36,North
298,2023-05-23,249,34,4,438.97,South
299,2023-04-21,852,14,4,392.7,West
300,2022-06-13,134,26,2,78.91,West
301,2023-04-30,690,50,3,190.02,East
302,2024-12-31,365,34,5,275.64,South
303,2023-07-21,740,19,2,232.63,South
304,2024-06-23,575,24,4,204.92,West
305,2023-07-13,780,31,1,362.23,South
306,2022-08-26,425,40,5,36.71,South
307,2023-07-08,415,6,1,240.99,East
308,2024-04-07,770,20,4,138.47,South
309,2023-04-13,656,39,1,51.46,West
310,2023-01-21,512,45,2,237.79,East
311,2024-02-14,385,34,1,93.97,West
312,2024-04-27,388,22,2,136.53,East
313,2023-01-22,815,7,3,258.43,North
314,2024-05-26,449,33,5,487.12,West
315,2022-09-16,564,6,1,345.28,South
316,2022-10-10,303,16,2,147.01,South
317,2022-02-09,99,8,4,197.38,East
318,2023-05-01,973,45,4,209.01,South
319,2024-07-17,306,23,2,85.28,South
320,2022-08-08,557,18,5,88.72,South
321,2024-10-11,42,14,3,82.71,North
322,2024-10-20,991,50,3,265.62,West
323,2023-09-05,468,36,5,340.35,East
324,2024-07-16,440,15,1,299.45,East
325,2023-11-19,327,5,2,489.11,West
326,2023-09-05,569,46,3,71.68,North
327,2022-09-17,1000,48,5,493.37,West
328,2024-09-16,33,15,3,238.67,East
329,2024-08-23,412,11,3,117.13,South
330,2023-01-01,626,2,1,472.21,South
331,2023-06-28,812,23,3,239.62,South
332,2023-10-11,114,24,2,180.2,North
333,2024-03-24,508,18,5,114.77,North
334,2024-11-05,56,4,1,141.26,North
335,2023-07-29,556,15,1,489.82,South
336,2024-10-09,724,12,5,158.95,East
337,2023-11-01,352,3,2,489.12,North
338,2022-09-26,329,32,3,171.81,West
339,2024-07-12,546,36,3,123.4,South
340,2022-09-04,270,21,2,99.85,South
341,2022-05-11,196,48,4,211.81,South
342,2022-12-19,413,6,5,126.04,South
343,2022-07-15,637,2,2,351.5,East
344,2024-07-18,79,9,3,127.49,South
345,2024-10-18,767,12,5,419.34,South
346,2023-10-07,657,44,5,418.67,East
347,2022-08-15,83,24,3,149.91,West
348,2023-12-02,742,14,2,379.23,West
349,2022-09-22,137,49,4,430.2,East
350,2023-10-08,539,41,5,299.17,South
351,2022-07-30,689,12,5,189.5,North
352,2024-07-31,719,27,5,226.07,North
353,2023-04-02,933,10,2,395.25,South
354,2023-12-26,924,43,5,153.73,East
355,2024-09-08,306,2,3,173.89,South
356,2023-08-11,311,31,3,88.78,South
357,2023-04-21,388,28,1,205.54,East
358,2024-09-12,725,16,5,52.39,East
359,2022-06-05,866,1,4,167.31,North
360,2022-07-09,915,22,1,193.0,North
361,2024-09-07,549,1,5,135.18,South
362,2023-06-30,506,31,5,59.67,East
363,2022-02-10,388,22,2,265.62,West
364,2022-11-03,293,34,2,433.89,South
365,2024-07-31,179,12,3,174.47,West
366,2022-12-04,672,23,1,126.03,South
367,2024-08-10,429,28,1,149.67,East
368,2022-10-06,880,50,1,432.32,North
369,2024-06-14,524,12,3,268.63,South
370,2022-09-30,681,27,4,74.09,East
371,2024-04-16,312,23,4,357.52,North
372,2023-09-12,80,1,4,85.64,North
373,2024-05-11,14,43,1,39.52,East
374,2024-07-19,54,2,5,135.29,East
375,2022-10-16,447,44,1,92.36,East
376,2023-12-25,766,31,5,306.45,West
377,2024-06-11,65,2,2,247.44,West
378,2022-09-29,372,49,3,364.79,South
379,2024-12-25,503,25,4,260.67,South
380,2023-04-28,570,38,1,215.31,East
381,2024-07-24,96,48,1,267.85,South
382,2022-09-05,533,19,2,222.9,South
383,2022-06-05,260,28,5,28.17,West
384,2024-12-06,585,6,4,343.54,East
385,2023-03-30,248,39,3,481.44,South
386,2022-07-20,127,19,5,216.8,East
387,2022-05-04,499,17,5,217.63,South
388,2022-01-01,46,6,4,32.43,West
389,2024-08-25,982,15,3,446.29,East
390,2024-05-04,268,22,4,465.27,South
391,2023-10-02,640,41,4,408.44,North
392,2022-07-10,542,34,1,62.11,West
393,2023-05-31,94,5,3,451.11,North
394,2023-03-18,736,23,5,21.74,East
395,2022-05-23,316,5,4,227.84,West
396,2023-06-17,612,44,2,255.31,West
397,2022-08-15,71,10,3,418.66,South
398,2024-08-06,593,4,2,377.92,East
399,2023-04-05,449,12,5,400.58,North
400,2023-07-05,910,47,3,435.27,North
401,2023-01-28,367,10,1,243.27,North
402,2024-04-24,812,30,3,392.32,West
403,2022-07-29,620,50,5,43.34,North
404,2023-10-08,614,24,1,227.83,West
405,2022-08-07,410,5,5,24.77,North
406,2023-02-11,91,13,3,458.5,South
407,2024-06-06,509,36,5,479.62,East
408,2023-07-12,877,9,3,51.13,East
409,2023-07-04,528,18,1,270.99,South
410,2022-05-22,110,35,3,169.32,South
411,2023-09-04,775,31,5,177.84,West
412,2023-05-16,672,24,5,230.84,East
413,2024-04-19,765,43,5,71.28,North
414,2023-12-03,89,4,2,98.58,South
415,2023-08-19,607,41,2,292.91,South
416,2022-10-08,272,26,2,19.19,West
417,2023-02-28,247,44,4,303.9,West
418,2024-05-05,361,42,3,166.27,East
419,2022-09-27,378,10,2,417.78,North
420,2022-06-03,206,41,5,304.0,South
421,2023-09-06,345,42,5,356.96,South
422,2023-10-24,830,9,2,66.07,West
423,2022-03-24,798,1,2,140.27,North
424,2024-08-04,760,16,5,498.37,South
425,2024-06-17,455,46,2,222.49,East
426,2022-10-11,908,13,4,185.84,West
427,2024-09-06,67,38,4,438.19,West
428,2022-06-22,987,14,4,26.21,East
429,2024-12-22,558,40,1,272.04,West
430,2024-02-02,979,23,4,113.03,West
431,2023-09-25,43,18,5,190.39,North
432,2024-02-26,229,28,1,107.89,East
433,2024-07-31,951,20,5,28.53,South
434,2024-10-08,813,1,5,214.09,West
435,2023-02-02,444,12,2,396.71,East
436,2024-07-22,234,27,3,476.46,North
437,2023-11-07,199,43,4,315.69,East
438,2024-07-24,497,13,3,200.53,South
439,2023-04-10,848,4,3,387.23,South
440,2022-10-13,32,25,2,257.56,West
441,2022-09-22,264,6,3,190.13,East
442,2022-11-16,113,45,4,97.75,West
443,2023-11-04,973,22,1,400.1,North
444,2024-03-30,830,45,5,255.21,North
445,2022-03-30,459,38,4,482.26,West
446,2024-03-31,276,36,2,402.94,East
447,2024-09-27,146,3,1,215.81,North
448,2022-11-30,357,15,2,373.02,South
449,2022-08-10,6,11,4,232.16,West
450,2022-02-10,340,34,5,49.13,North
451,2022-03-09,992,27,3,263.17,East
452,2024-09-14,494,23,3,434.21,South
453,2023-05-29,108,17,2,429.17,West
454,2023-11-26,925,23,1,291.73,South
455,2024-11-05,772,34,5,196.21,West
456,2023-04-22,71,21,2,14.95,West
457,2024-12-21,939,33,5,162.59,East
458,2024-05-30,340,5,2,495.01,North
459,2023-03-08,674,17,1,365.98,North
460,2022-09-25,100,1,4,361.62,West
461,2024-11-24,327,7,3,382.93,South
